Code,Entity,Total_Deaths,Total_Cases,Population,Continent,Death_per_mill,Population_Density,Cases_per_mill,Cumulative_Pos_Rate,Total_Tests,GDP_Per_Cap,Resp_Death_Rate,Median_Age,Contact_Tracing,INT_Travel_Controls,Physicians_Per_1000_ppl,Percent_Urbanization,Life_Expectancy,HC_Expenditure_Per_Capita,Stay_Home_Req,Gathering_Restrictions,Internal_Movement_Restrict,Tests_per_mill
AFG,Afghanistan,2625,59745,38928341,Asia,67.432,54.4222053732806,1534.743,-1,-1,1804,74.24328562624689,18.6,0.03773584905660377,0.21881390593047034,0.295,25.02,64.833,167,0.3149284253578732,0.27607361963190186,0.261758691206544,-1
ALB,Albania,2394,131085,2877800,Europe,831.885,104.870693430657,45550.42,21.4,615752,11803,18.178112349189373,38.0,0.6762295081967213,0.4323770491803279,1.286,58.421,78.573,615,0.5163934426229508,0.7786885245901639,0.24180327868852458,0.21396622419904093
DZA,Algeria,3253,122108,43851043,Africa,74.183,17.3478736772806,2784.609,-1,-1,13914,19.108223457414436,29.1,0.6286307053941909,0.8485477178423236,1.207,71.459,76.88,932,0.8298755186721992,0.5975103734439834,0.6742738589211619,-1
AND,Andorra,125,13232,77265,Europe,1617.809,163.755319148936,171254.773,7.199999999999999,180633,38964,21.646653227624054,46.2,0.5652173913043478,0.06832298136645963,3.69,88.248,83.732,4273,0.0,0.453416149068323,0.0,2.337837313143079
AGO,Angola,596,26652,32866268,Africa,18.134,23.8904251223229,810.923,-1,-1,5819,45.18213747829797,16.799999,0.0,0.7434782608695653,0.215,64.149,61.147,239,0.3130434782608696,0.4543478260869565,0.5239130434782608,-1
ARG,Argentina,63865,2977363,45195777,South America,1413.075,16.1768563483624,65877.018,33.2,8701778,18934,34.179493855278395,31.9,0.8709016393442623,0.8466257668711656,3.907,91.627,76.667,1137,0.8404907975460123,0.8261758691206544,0.8098159509202454,0.19253520079984465
AUS,Australia,910,29811,25499881,Oceania,35.686,3.20202712729261,1169.064,0.2,16796517,44649,23.609973307713467,37.900002,0.9508196721311475,0.9364754098360656,3.496,85.8,83.436,4357,0.4139344262295082,0.5737704918032787,0.8045738045738046,0.6586900150632076
AUT,Austria,10205,618870,9006400,Europe,1133.083,106.748567066151,68714.47,2.0,31892904,45437,16.823796013619766,44.400002,0.8179959100204499,0.8609406952965235,5.23,57.905,81.544,5039,0.5010224948875256,0.5112474437627812,0.2822085889570552,3.541137857523539
AZE,Azerbaijan,4429,315119,10139175,Asia,445.5,119.308868538524,31472.876,9.9,3229867,15847,32.57163494478601,32.400002,0.869120654396728,0.8793456032719836,3.402,55.021,73.005,1047,0.40899795501022496,0.8507157464212679,0.5501022494887525,0.3185532353470573
BHS,Bahamas,199,10453,393248,North America,506.042,39.4966033966034,26581.19,-1,-1,27718,15.3900565095956,34.299999,0.8507157464212679,0.2474437627811861,2.263,82.832,73.918,1819,0.8384458077709611,0.7934560327198364,0.689161554192229,-1
BHR,Bahrain,594,164110,1701583,Asia,379.646,1935.90661478599,103981.998,4.3,4079066,43291,22.14262745123141,32.400002,0.8916155419222904,0.5337423312883436,0.922,89.09,77.292,2273,0.19427402862985685,0.6768916155419223,0.0,2.3972183549083415
BGD,Bangladesh,11450,759132,164689383,Asia,69.525,1265.03611431205,4609.477,13.900000000000002,5465301,3524,76.119710156773,27.5,0.08506224066390042,0.6265560165975104,0.472,35.083,72.591,88,0.7717842323651453,0.8049792531120332,0.8049792531120332,0.03318550898936819
BRB,Barbados,44,3855,287371,North America,153.112,664.462790697674,13414.715,-1,-1,16978,12.942201497738239,39.799999,0.8357588357588358,0.0,1.811,31.193,79.19,1014,0.4261954261954262,0.3596673596673597,0.19750519750519752,-1
BLR,Belarus,2542,358738,9449321,Europe,269.014,46.8575969641713,37964.421,6.1,5832409,17168,12.598037526208175,40.299999,0.7971311475409836,0.42213114754098363,4.07,77.661,74.791,1031,0.0,0.0,0.0,0.6172304867196278
BEL,Belgium,24230,990229,11589616,Europe,2090.665,375.563672391017,85441.053,7.9,12585038,42659,25.300728150081337,41.799999,0.75,0.8381147540983607,3.011,97.919,81.628,4392,0.6188524590163934,0.7377049180327869,0.18237704918032788,1.0858891269564066
BLZ,Belize,323,12668,397621,North America,812.331,16.4261727312582,31859.484,-1,-1,7824,28.137078915471317,25.0,0.7730061349693251,0.40899795501022496,0.828,45.495,74.623,489,0.3333333333333333,0.50920245398773,0.5316973415132924,-1
BEN,Benin,99,7821,12123198,Africa,8.166,99.1104292302235,645.127,-1,-1,2064,47.78346182583916,18.799999,0.8024948024948025,0.20582120582120583,0.153,46.229,61.771,86,0.0,0.08731808731808732,0.08731808731808732,-1
BTN,Bhutan,1,1074,771612,Asia,1.296,21.1876590497678,1391.891,0.2,701154,8709,87.12977773791245,28.6,0.8631578947368421,0.7978947368421052,0.381,39.428,71.777,281,0.31157894736842107,0.4463157894736842,0.6610526315789473,0.9086872676941261
BOL,Bolivia,12951,303732,11673029,South America,1109.481,10.2017908243331,26019.982,26.400000000000002,1170951,6886,43.17934287796757,25.4,0.0,0.5133470225872689,0.473,68.738,71.513,427,0.5318275154004107,0.5318275154004107,0.5236139630390144,0.10031252385306333
BIH,Bosnia and Herzegovina,8551,198461,3280815,Europe,2606.365,68.49642578125,60491.372,21.9,907054,11714,22.683885767567485,42.5,0.0,0.3030927835051546,1.886,47.518,77.401,957,0.47835051546391755,0.19175257731958764,0.14432989690721648,0.27647215707072786
BWA,Botswana,712,46934,2351625,Africa,302.769,4.04365570906781,19958.114,-1,-1,15807,46.28625917202594,25.799999,0.45085470085470086,0.5021367521367521,0.384,67.933,69.592,871,0.3782051282051282,0.23717948717948717,0.5982905982905983,-1
BRA,Brazil,403781,14659011,212559409,South America,1899.615,25.0400541268751,68964.301,-1,-1,14103,33.890840023555576,33.5,0.6270491803278688,0.27049180327868855,1.852,86.042,75.881,1318,0.7438524590163934,0.5409836065573771,0.8442622950819673,-1
BRN,Brunei,3,224,437483,Asia,6.857,81.346679316888,512.02,-1,-1,71809,46.357447386320985,32.400002,0.39669421487603307,0.5950413223140496,1.746,76.99,75.86,1778,0.0,0.0,0.0,-1
BGR,Bulgaria,15195,386381,6948445,Europe,2360.096,65.1804624170965,58197.194,16.2,2509499,18563,21.17481344468495,44.700001,0.7541322314049587,0.7851239669421488,3.999,74.329,75.046,1399,0.07660455486542443,0.16735537190082644,0.1012396694214876,0.3611597990629558
BFA,Burkina Faso,157,13310,20903278,Africa,7.511,70.15125,636.742,-1,-1,1703,31.646172839474527,17.6,0.8004158004158004,0.3804573804573805,0.047,28.134,61.577,82,0.1496881496881497,0.0,0.2661122661122661,-1
BDI,Burundi,6,3995,11890781,Africa,0.505,423.0625,335.975,-1,-1,702,54.64799269604449,17.5,0.07566462167689161,0.2965235173824131,0.1,12.388,61.584,58,0.0,0.0,0.0,-1
KHM,Cambodia,93,13402,16718971,Asia,5.563,90.6717255835033,801.604,-1,-1,3645,50.75595911188056,25.6,0.17177914110429449,0.08997955010224949,0.143,22.582,69.823,183,0.11042944785276074,0.1656441717791411,0.1411042944785276,-1
CMR,Cameroon,1107,72250,26545864,Africa,41.701,50.8847432886971,2721.705,-1,-1,3365,52.79809109736072,18.799999,0.0,0.38445807770961143,0.083,55.179,59.292,122,0.0,0.0,0.0,-1
